Kenyon Martin,9.0,.398
Stromile Swift,8.5,.334
Marcus Fizer,9.6,.308
Mike Miller,5.4,.204
DerMarr Johnson,4.8,.218
Chris Mihm,7.7,.302
Jamal Crawford,0.9,.065
Joel Przybilla,3.2,.199
Keyon Dooling,3.3,.135
Jerome Moiso,3.8,.158
Etan Thomas,7.4,.314
Courtney Alexander,4.8,.132
Mateen Cleaves,3.2,.155
Jason Collier,2.8,.105
Desmond Mason,7.5,.250
Quentin Richardson,5.0,.172
Jamaal Magloire,5.6,.228
Speedy Claxton,7.0,.258
Morris Peterson,7.4,.262
Donnell Harvey,4.0,.216
Mamadou N'Diaye,7.3,.323
Erick Barkley,1.7,.067
Mark Madsen,4.2,.269
