Allen Iverson,8.6,.283,9.83,1996
Marcus Camby,8.1,.320,8.92,1996
Shareef Abdur-Rahim,5.4,.221,6.44,1996
Stephon Marbury,4.3,.127,12.71,1996
Ray Allen,8.3,.303,8.19,1996
Antoine Walker,4.7,.195,10.06,1996
Lorenzen Wright,6.5,.245,6.58,1996
Kerry Kittles,5.6,.210,11.46,1996
Samaki Walker,3.2,.202,9.84,1996
Erick Dampier,5.6,.200,8.72,1996
Todd Fuller,6.1,.235,7.98,1996
Vitaly Potapenko,5.2,.259,-0.49,1996
Steve Nash,4.4,.179,4.09,1996
Tony Delk,6.4,.272,10.06,1996
John Wallace,8.0,.233,11.35,1996
Walter McCarty,6.4,.287,10.06,1996
Roy Rogers,5.1,.175,6.13,1996
Derek Fisher,4.2,.155,-1.03,1996
Jerome Williams,5.8,.230,9.83,1996
Brian Evans,5.5,.190,10.87,1996
Priest Lauderdale,5.5,.190,10.87,1996
Travis Knight,5.8,.273,8.19,1996
Tim Duncan,10.4,.367,10.53,1997
Keith Van Horn,8.0,.316,5.44,1997
Chauncey Billups,5.8,.245,6.24,1997
Antonio Daniels,6.9,.239,1.56,1997
Tony Battie,5.4,.220,6.72,1997
Ron Mercer,6.6,.204,9.20,1997
Tim Thomas,4.6,.183,9.45,1997
Adonal Foyle,6.0,.227,-6.42,1997
Danny Fortson,8.5,.343,5.44,1997
Tariq Abdul-Wahad,8.5,.343,5.44,1997
Austin Croshere,6.8,.228,8.32,1997
Derek Anderson,3.9,.321,,1997
Maurice Taylor,4.0,.153,10.53,1997
Kelvin Cato,3.7,.185,,1997
Brevin Knight,5.2,.216,9.05,1997
Johnny Taylor,5.2,.216,9.05,1997
Scot Pollard,5.3,.304,7.94,1997
Paul Grant,4.4,.230,,1997
Anthony Parker,3.1,.174,3.39,1997
Ed Gray,4.5,.217,,1997
Bobby Jackson,5.4,.197,9.20,1997
Rodrick Rhodes,2.4,.134,,1997
John Thomas,6.3,.304,9.20,1997
Charles Smith,5.4,.223,3.67,1997
Jacque Vaughn,3.1,.150,7.94,1997
Keith Booth,5.5,.199,9.30,1997
Michael Olowokandi,8.1,,-0.56,1998
Mike Bibby,5.3,.190,8.38,1998
Raef LaFrentz,7.0,.309,6.54,1998
Antawn Jamison,8.3,,10.38,1998
Vince Carter,7.4,,10.38,1998
Robert Traylor,6.1,,9.64,1998
Jason Williams,2.8,,,1998
Larry Hughes,4.3,,5.51,1998
Paul Pierce,7.9,.272,6.54,1998
Bonzi Wells,7.1,,0.68,1998
Michael Doleac,6.0,,4.87,1998
Keon Clark,2.0,,5.31,1998
Michael Dickerson,5.0,.203,8.38,1998
Matt Harpring,5.4,,8.70,1998
Bryce Drew,5.1,,-2.66,1998
