,Player,sos,year,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,ws_per_40,g,fg_per_min,fga_per_min,fg_pct,fg2_per_min,fg2a_per_min,fg2_pct,fg3_per_min,fg3a_per_min,fg3_pct,ft_per_min,fta_per_min,ft_pct,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min
0,Marcus Camby,8.92,1996,1011.0,0.521,0.47700000000000004,0.015,0.434,0.32,33,10.1,21.2,0.47700000000000004,10.1,20.9,0.484,0.0,0.3,0.0,6.4,9.2,0.7,10.7,2.3,1.3,5.1,3.3,3.4,26.7
2,Stephon Marbury,12.71,1996,1345.0,0.574,0.5429999999999999,0.46299999999999997,0.319,0.127,36,7.0,15.3,0.457,4.4,8.2,0.5329999999999999,2.6,7.1,0.37,3.6,4.9,0.738,3.4,4.8,1.9,0.1,3.4,2.4,20.2
3,Ray Allen,8.19,1996,1098.0,0.595,0.5660000000000001,0.4,0.23800000000000002,0.303,35,10.6,22.5,0.47200000000000003,6.4,13.5,0.47700000000000004,4.2,9.0,0.466,4.3,5.4,0.81,8.3,4.3,2.2,0.7,3.0,1.7,29.8
6,Kerry Kittles,11.46,1996,1059.0,0.564,0.537,0.406,0.305,0.21,30,8.2,17.9,0.455,5.2,10.7,0.489,2.9,7.3,0.40399999999999997,3.9,5.5,0.71,8.0,4.0,2.7,0.4,2.1,1.7,23.2
9,Todd Fuller,7.98,1996,1044.0,0.586,0.524,0.09699999999999999,0.515,0.235,31,8.6,17.0,0.506,8.0,15.4,0.52,0.6,1.6,0.37200000000000005,7.0,8.8,0.799,11.8,1.5,0.4,2.1,2.8,1.8,24.9
15,Roy Rogers,6.13,1996,1173.0,0.539,0.524,0.003,0.276,0.175,32,6.3,12.1,0.524,6.3,12.1,0.525,0.0,0.0,0.0,2.1,3.3,0.622,10.2,1.0,0.7,5.3,2.1,2.5,14.8
16,Derek Fisher,-1.03,1996,1080.0,0.5539999999999999,0.49,0.41700000000000004,0.542,0.155,30,4.7,11.6,0.41,2.9,6.7,0.429,1.9,4.8,0.385,4.7,6.3,0.746,5.7,5.7,2.1,0.1,3.0,2.4,16.1
17,Jerome Williams,9.83,1996,1016.0,0.607,0.59,0.027999999999999997,0.532,0.23,37,5.8,9.8,0.588,5.7,9.6,0.601,0.0,0.3,0.14300000000000002,3.3,5.2,0.639,12.8,2.0,2.8,0.6,2.8,2.6,15.0
37,Scot Pollard,7.94,1997,702.0,0.589,0.531,0.006,0.787,0.304,28,5.4,10.1,0.528,5.3,10.1,0.525,0.1,0.1,1.0,5.6,8.0,0.7070000000000001,13.2,1.1,2.0,4.2,2.4,3.9,16.4
39,Anthony Parker,3.39,1997,715.0,0.5379999999999999,0.48100000000000004,0.389,0.545,0.174,21,6.1,14.4,0.424,4.5,8.8,0.51,1.6,5.6,0.29,5.7,7.8,0.721,6.3,4.0,2.1,0.6,3.2,2.0,19.5
45,Jacque Vaughn,7.94,1997,820.0,0.5529999999999999,0.47600000000000003,0.292,0.611,0.15,26,3.9,9.0,0.42700000000000005,3.0,6.4,0.466,0.9,2.6,0.33299999999999996,4.3,5.5,0.779,3.0,7.9,2.2,0.2,3.1,2.9,12.9
48,Mike Bibby,8.38,1998,1119.0,0.5820000000000001,0.55,0.442,0.318,0.19,35,7.5,16.1,0.46399999999999997,4.7,9.0,0.526,2.8,7.1,0.387,3.9,5.1,0.755,3.8,7.1,3.0,0.3,2.8,2.0,21.6
49,Raef LaFrentz,6.54,1998,906.0,0.5920000000000001,0.5579999999999999,0.04,0.38799999999999996,0.309,30,10.2,18.7,0.5479999999999999,9.9,17.9,0.552,0.4,0.8,0.47100000000000003,5.3,7.2,0.738,15.1,1.3,1.2,2.0,3.4,3.1,26.2
