Tim Duncan,10.4,.367
Keith Van Horn,8.0,.316
Chauncey Billups,5.8,.245
Antonio Daniels,6.9,.239
Tony Battie,5.4,.220
Ron Mercer,6.6,.204
Tim Thomas,4.6,.183
Adonal Foyle,6.0,.227
Danny Fortson,8.5,.343
Tariq Abdul-Wahad,8.5,.343
Austin Croshere,6.8,.228
Derek Anderson,,
Maurice Taylor,4.0,.153
Kelvin Cato,,
Brevin Knight,5.2,.216
Johnny Taylor,5.2,.216
Scot Pollard,5.3,.304
Paul Grant,,
Anthony Parker,3.1,.174
Ed Gray,,
Bobby Jackson,5.4,.197
Rodrick Rhodes,,
John Thomas,6.3,.304
