,Player,PER 1st,PER 2nd,Win Shares 1st,Win Shares 2nd,Win Shares per 48 min 1st,Win Shares per 48 min 2nd,BPM 1st,BPM 2nd,VORP 1st,VORP 2nd,Win Shares(Col),Win Shares per 40 min(Col),Strength of Schedule(Col),Year Drafted
0,Allen Iverson,18.0,20.4,4.1,9.0,0.065,0.138,1.5,3.8,2.7,4.6,8.6,0.28300000000000003,9.83,1996
1,Marcus Camby,17.8,15.9,3.7,0.9,0.095,0.022000000000000002,-0.3,-0.7,0.8,0.7,8.1,0.32,8.92,1996
2,Shareef Abdur-Rahim,17.4,21.1,2.9,6.9,0.049,0.113,-2.0,1.2,0.0,2.3,5.4,0.221,6.44,1996
3,Stephon Marbury,16.1,16.3,3.7,5.3,0.077,0.08199999999999999,-1.0,-0.6,0.6,1.1,4.3,0.127,12.71,1996
4,Ray Allen,14.6,16.2,4.9,7.0,0.092,0.102,0.3,1.8,1.5,3.2,8.3,0.303,8.19,1996
5,Antoine Walker,15.5,17.8,1.7,4.7,0.027000000000000003,0.07,-1.0,0.7,0.8,2.2,4.7,0.195,10.06,1996
6,Lorenzen Wright,12.5,13.6,3.2,3.1,0.079,0.071,-1.5,-2.4,0.2,-0.2,6.5,0.245,6.58,1996
7,Kerry Kittles,16.0,17.5,6.9,8.4,0.11,0.14400000000000002,2.0,2.9,3.1,3.5,5.6,0.21,11.46,1996
8,Samaki Walker,12.2,14.4,0.5,1.4,0.037000000000000005,0.067,-5.4,-3.9,-0.5,-0.5,3.2,0.20199999999999999,9.84,1996
9,Erick Dampier,11.8,14.0,0.9,4.0,0.04,0.07200000000000001,-3.0,-1.1,-0.3,0.6,5.6,0.2,8.72,1996
10,Todd Fuller,10.4,11.8,0.7,0.7,0.034,0.053,-6.2,-8.0,-1.0,-0.9,6.1,0.235,7.98,1996
11,Vitaly Potapenko,9.5,11.0,0.5,1.5,0.02,0.052000000000000005,-5.9,-3.9,-1.2,-0.7,5.2,0.259,-0.49,1996
12,Steve Nash,10.8,15.6,0.7,4.8,0.047,0.13699999999999998,-4.6,0.5,-0.5,1.1,4.4,0.179,4.09,1996
13,Tony Delk,14.2,13.1,1.6,0.8,0.087,0.022000000000000002,-0.3,-2.7,0.4,-0.3,6.4,0.272,10.06,1996
14,John Wallace,13.0,14.8,1.6,1.5,0.095,0.031,-2.4,-4.3,-0.1,-1.4,8.0,0.233,11.35,1996
15,Walter McCarty,6.4,11.6,0.0,2.9,-0.006999999999999999,0.06,-4.7,-0.6,-0.1,0.8,6.4,0.287,10.06,1996
