Karl-Anthony Towns,8.3,12.7,.151,.201,2.8,4.9,3.2,5.3
D'Angelo Russell,0.0,1.3,.001,.033,-1.8,-0.5,0.1,0.7
Jahlil Okafor,1.2,1.2,.037,.050,-4.1,-3.3,-0.8,-0.4
Willie Cauley-Stein,3.8,2.9,.130,.100,0.7,-1.2,1.0,0.3
Stanley Johnson,0.6,0.4,.018,.012,-2.6,-2.0,-0.2,0.0
Frank Kaminsky,3.3,2.3,.093,.056,-1.2,-1.5,0.3,0.2
Justise Winslow,2.5,-0.1,.054,-0.009,-0.6,-2.8,0.8,-0.1
Myles Turner,3.1,8.0,.109,.151,-2.3,2.4,-0.1,2.8
Trey Lyles,2.3,0.8,.079,.031,-2.8,-3.0,-0.3,-0.3
Devin Booker,1.9,2.0,.043,.035,-3.1,-2.3,-0.6,-0.2
Cameron Payne,1.4,-0.3,.093,-0.035,-1.3,-7.0,0.1,-0.6
Kelly Oubre,0.4,2.0,.031,.061,-5.8,-2.3,-0.7,-0.1
Terry Rozier,-0.3,1.4,-0.047,.054,-6.6,-2.5,-0.4,-0.2
Rashad Vaughn,-0.8,0.0,-0.036,-0.005,-6.1,-4.9,-1.0,-0.3
Sam Dekker,0.0,3.1,.116,.104,0.5,-1.0,0.0,0.3
Jerian Grant,0.8,2.5,.030,.119,-3.4,-0.3,-0.5,0.4
Delon Wright,0.6,1.1,.124,.117,-0.7,1.1,0.1,0.4
Justin Anderson,1.1,1.9,.083,.074,-1.2,-1.6,0.1,0.1
Bobby Portis,1.5,2.4,.066,.114,-3.3,-3.0,-0.4,-0.3
Rondae Hollis-Jefferson,1.2,2.6,.094,.070,1.2,-1.0,0.5,0.4
Tyus Jones,0.3,1.5,.027,.096,-3.7,-1.8,-0.3,0.0
Jarell Martin,0.8,0.6,.100,.054,-3.2,-6.4,-0.1,-0.6
Larry Nance Jr.,2.2,3.5,.083,.118,-1.4,1.9,0.2,1.4
R.J. Hunter,0.3,0.0,.045,-0.088,-3.5,-11.4,-0.1,0.0
Chris McCullough,0.3,0.1,.043,.072,-1.0,-4.6,0.1,-0.1
Kevon Looney,0.1,1.4,.192,.155,-9.5,0.4,0.0,0.3
